fecha_convocatoria,fecha_buena_pro,fecha_suscripcion,lead_time_adjudicacion,lead_time_formalizacion,lead_time_total_proceso,red_asistencial,dpto_entrega_item,tipo_proveedor,denominacion_dci,tipo_proceso_seleccion,es_consorcio,es_uso_critico,es_uso_intrahospitalario,monto_adjudicado_soles,anio,flag_tiene_adenda
2022-09-22,2022-11-10,2022-12-12,49,32,81,red prestacional rebagliati,loreto,legal entity,enoxaparina 40 mg,licitacion publica,0,1,1,56765.4,2022,0
2025-12-12,2026-01-09,2026-01-15,28,6,34,red prestacional lambayeque,madre de dios,natural person,cefalexina 500 mg,adjudicacion simplificada,0,1,0,746801.76,2025,0
2022-02-22,2022-03-25,2022-04-12,31,18,49,red prestacional lambayeque,lima,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,1,0,48575.83,2022,0
2024-12-05,2024-12-07,2024-12-21,2,14,16,red prestacional almenara,arequipa,legal entity,ceftriaxona 1 g,contratacion directa,0,1,1,661821.49,2024,1
2022-04-02,2022-04-18,2022-04-27,16,9,25,red prestacional rebagliati,arequipa,natural person,clotrimazol 1%,contratacion directa,0,0,0,216114.45,2022,0
2023-09-21,2023-10-16,2023-11-10,25,25,50,red asistencial madre de dios,madre de dios,legal entity,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,675351.97,2023,0
2025-02-04,2025-02-24,2025-03-04,20,8,28,red prestacional rebagliati,loreto,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,902473.54,2025,0
2022-07-25,2022-09-19,2022-10-20,56,31,87,red prestacional sabogal,loreto,legal entity,ritonavir 100 mg,licitacion publica,0,1,0,464246.64,2022,1
2022-03-22,2022-05-26,2022-06-16,65,21,86,red asistencial loreto,lima,legal entity,hipromelosa 0.3%,licitacion publica,0,0,0,12544.33,2022,0
2023-02-19,2023-03-30,2023-04-12,39,13,52,red prestacional rebagliati,lambayeque,legal entity,ceftriaxona 1 g,subasta inversa electronica,0,1,1,15097.01,2023,0
2023-12-26,2024-01-30,2024-03-04,35,34,69,red prestacional rebagliati,lima,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,12253.8,2023,1
2024-01-02,2024-01-29,2024-03-09,27,40,67,red prestacional lambayeque,arequipa,legal entity,cicloserine 250 mg,licitacion publica,0,1,1,1431296.76,2024,0
2023-02-23,2023-03-28,2023-04-28,33,31,64,red asistencial la libertad,cusco,natural person,meropenem 500 mg,adjudicacion simplificada,0,1,1,2458356.68,2023,1
2024-04-15,2024-04-25,2024-05-01,10,6,16,red asistencial loreto,la libertad,legal entity,ritonavir 100 mg,contratacion directa,0,1,0,515529.59,2024,1
2023-09-17,2023-11-03,2023-11-14,47,11,58,red prestacional almenara,lima,legal entity,ritonavir 100 mg,licitacion publica,0,1,0,629277.11,2023,0
2022-11-06,2023-01-27,2023-03-08,82,40,122,red prestacional lambayeque,la libertad,consortium,hipromelosa 0.3%,licitacion publica,1,1,0,2710570.19,2022,1
2023-07-10,2023-08-18,2023-10-09,39,52,91,red prestacional sabogal,apurimac,legal entity,sodio cloruro 0.9%,licitacion publica,0,0,1,467200.46,2023,1
2023-08-06,2023-08-24,2023-09-23,18,30,48,red asistencial arequipa,lambayeque,natural person,insulina glargina 100 ui/ml,adjudicacion simplificada,0,1,1,399245.49,2023,0
2022-02-13,2022-02-26,2022-03-04,13,6,19,red asistencial la libertad,lima,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,86869.04,2022,0
2023-06-11,2023-06-22,2023-07-14,11,22,33,red asistencial madre de dios,loreto,natural person,cefalexina 500 mg,subasta inversa electronica,0,0,0,85246.61,2023,0
2022-07-21,2022-08-07,2022-09-07,17,31,48,red prestacional rebagliati,arequipa,legal entity,cefalexina 500 mg,licitacion publica,0,0,0,254805.28,2022,0
2023-09-27,2023-11-29,2023-12-09,63,10,73,red prestacional sabogal,cusco,legal entity,cicloserine 250 mg,licitacion publica,0,1,1,64933.41,2023,0
2023-12-17,2024-01-14,2024-01-22,28,8,36,red prestacional rebagliati,lima,legal entity,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,1839325.22,2023,0
2023-10-31,2023-12-12,2024-01-23,42,42,84,red prestacional rebagliati,ancash,legal entity,cefalexina 500 mg,licitacion publica,0,0,0,230665.27,2023,0
2023-09-28,2023-10-12,2023-11-01,14,20,34,red prestacional sabogal,lima,legal entity,paracetamol 500 mg,adjudicacion simplificada,0,0,0,175562.19,2023,0
2025-08-03,2025-09-24,2025-10-16,52,22,74,red prestacional rebagliati,lima,legal entity,omeprazol 20 mg,licitacion publica,0,0,0,339715.44,2025,1
2022-09-09,2022-09-26,2022-09-28,17,2,19,red asistencial la libertad,lima,legal entity,ceftriaxona 1 g,contratacion directa,0,1,1,646233.77,2022,1
2022-07-09,2022-08-12,2022-08-29,34,17,51,red asistencial ancash,la libertad,legal entity,ritonavir 100 mg,adjudicacion simplificada,0,1,0,28177.58,2022,0
2024-10-22,2024-11-11,2024-11-25,20,14,34,red asistencial ancash,lima,consortium,hipromelosa 0.3%,adjudicacion simplificada,1,0,0,254989.83,2024,0
2023-08-01,2023-09-22,2023-10-27,52,35,87,red prestacional lambayeque,la libertad,legal entity,clotrimazol 1%,licitacion publica,0,0,0,3703335.36,2023,1
2022-07-27,2022-08-10,2022-08-31,14,21,35,red prestacional almenara,la libertad,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,1737728.35,2022,0
2024-08-24,2024-09-13,2024-10-11,20,28,48,red prestacional rebagliati,cusco,natural person,dextrometorfano 15mg/5ml,licitacion publica,0,0,0,1019293.8,2024,0
2024-12-03,2025-01-22,2025-02-26,50,35,85,red asistencial la libertad,cusco,legal entity,cicloserine 250 mg,licitacion publica,0,1,1,39553.2,2024,0
2022-02-22,2022-02-23,2022-03-11,1,16,17,red asistencial loreto,piura,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,1,1,221987.83,2022,0
2022-10-07,2022-11-03,2022-11-24,27,21,48,red prestacional rebagliati,lima,legal entity,meropenem 500 mg,adjudicacion simplificada,0,1,1,113248.45,2022,0
2022-08-05,2022-08-21,2022-08-30,16,9,25,red prestacional rebagliati,lima,natural person,cicloserine 250 mg,adjudicacion simplificada,0,1,1,39691.37,2022,0
2022-09-09,2022-10-16,2022-10-28,37,12,49,red prestacional sabogal,piura,legal entity,omeprazol 20 mg,subasta inversa electronica,0,0,0,955802.88,2022,0
2022-07-07,2022-07-24,2022-08-01,17,8,25,red prestacional rebagliati,loreto,legal entity,meropenem 500 mg,adjudicacion simplificada,0,1,1,101084.28,2022,0
2022-02-10,2022-03-09,2022-03-16,27,7,34,red prestacional sabogal,lima,natural person,dextrometorfano 15mg/5ml,adjudicacion simplificada,0,0,0,8458.44,2022,0
2022-06-06,2022-06-30,2022-07-12,24,12,36,red prestacional almenara,lambayeque,legal entity,piperacilina/tazobactan 4g+500mg,subasta inversa electronica,0,1,1,523295.75,2022,0
2024-01-15,2024-03-20,2024-04-21,65,32,97,red prestacional sabogal,lima,legal entity,meropenem 500 mg,licitacion publica,0,1,1,136379.91,2024,0
2023-10-28,2023-11-25,2023-11-28,28,3,31,red prestacional sabogal,la libertad,natural person,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,1271162.09,2023,0
2022-03-06,2022-04-15,2022-04-30,40,15,55,red prestacional rebagliati,lambayeque,legal entity,meropenem 500 mg,adjudicacion simplificada,0,1,1,2709857.4,2022,1
2022-12-11,2023-01-11,2023-02-03,31,23,54,red prestacional lambayeque,lambayeque,legal entity,cefalexina 500 mg,licitacion publica,0,0,0,496260.2,2022,0
2022-11-23,2023-02-10,2023-03-16,79,34,113,red prestacional rebagliati,lambayeque,consortium,ceftriaxona 1 g,licitacion publica,1,1,1,1267347.65,2022,1
2023-01-09,2023-04-12,2023-06-04,93,53,146,red asistencial loreto,lima,legal entity,sodio cloruro 0.9%,licitacion publica,0,0,1,129808.57,2023,0
2024-12-09,2024-12-31,2025-01-03,22,3,25,red prestacional rebagliati,la libertad,legal entity,hipromelosa 0.3%,subasta inversa electronica,0,0,0,122725.04,2024,0
2025-05-09,2025-06-26,2025-07-11,48,15,63,red prestacional sabogal,lima,legal entity,ritonavir 100 mg,subasta inversa electronica,0,1,0,56556.26,2025,0
2023-05-16,2023-06-18,2023-07-07,33,19,52,red prestacional almenara,lima,natural person,insulina glargina 100 ui/ml,subasta inversa electronica,0,1,1,856589.26,2023,0
2022-03-04,2022-04-13,2022-05-06,40,23,63,red prestacional almenara,lima,legal entity,ceftriaxona 1 g,subasta inversa electronica,0,1,1,151512.19,2022,0
2022-05-19,2022-06-18,2022-06-29,30,11,41,red prestacional rebagliati,lima,natural person,meropenem 500 mg,adjudicacion simplificada,0,1,1,15860.83,2022,0
2023-03-22,2023-04-18,2023-04-28,27,10,37,red asistencial loreto,lima,natural person,dextrometorfano 15mg/5ml,adjudicacion simplificada,0,0,0,62749.42,2023,0
2022-06-12,2022-06-24,2022-07-21,12,27,39,red prestacional rebagliati,arequipa,legal entity,enoxaparina 40 mg,subasta inversa electronica,0,1,1,91244.03,2022,0
2022-10-16,2022-11-09,2022-12-26,24,47,71,red prestacional lambayeque,lima,legal entity,omeprazol 20 mg,licitacion publica,0,0,0,2145151.08,2022,0
2024-09-17,2024-10-10,2024-10-30,23,20,43,red prestacional sabogal,lima,natural person,hipromelosa 0.3%,subasta inversa electronica,0,0,0,1483604.53,2024,0
2024-08-18,2024-08-31,2024-09-14,13,14,27,red prestacional lambayeque,lima,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,7309270.73,2024,1
2023-02-10,2023-03-18,2023-03-20,36,2,38,red prestacional almenara,loreto,legal entity,sodio cloruro 0.9%,subasta inversa electronica,0,0,0,1328789.84,2023,0
2022-01-28,2022-02-08,2022-02-23,11,15,26,red prestacional sabogal,lima,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,350946.75,2022,0
2022-05-15,2022-06-04,2022-06-19,20,15,35,red prestacional sabogal,la libertad,legal entity,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,170626.51,2022,0
2025-07-20,2025-08-26,2025-09-19,37,24,61,red asistencial loreto,lambayeque,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,21828.17,2025,0
2023-11-24,2023-12-15,2024-01-03,21,19,40,red prestacional rebagliati,piura,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,836940.54,2023,0
2025-09-25,2025-11-19,2025-12-20,55,31,86,red asistencial ancash,ancash,consortium,piperacilina/tazobactan 4g+500mg,licitacion publica,1,1,1,2161905.91,2025,0
2023-02-02,2023-03-19,2023-04-24,45,36,81,red prestacional rebagliati,lima,natural person,cicloserine 250 mg,licitacion publica,0,1,1,349703.84,2023,0
2024-02-17,2024-03-17,2024-04-06,29,20,49,red prestacional rebagliati,lima,legal entity,ceftriaxona 1 g,licitacion publica,0,1,1,172564.04,2024,0
2023-03-03,2023-03-14,2023-03-23,11,9,20,red prestacional sabogal,lima,legal entity,ceftriaxona 1 g,contratacion directa,0,1,1,552898.74,2023,1
2022-08-04,2022-08-14,2022-08-26,10,12,22,red asistencial loreto,la libertad,legal entity,omeprazol 20 mg,contratacion directa,0,0,0,211016.69,2022,0
2025-10-20,2025-11-17,2025-12-10,28,23,51,red asistencial loreto,lima,legal entity,cicloserine 250 mg,licitacion publica,0,1,1,241698.21,2025,1
2023-04-09,2023-05-12,2023-06-05,33,24,57,red prestacional sabogal,ancash,legal entity,ritonavir 100 mg,adjudicacion simplificada,0,1,0,1748455.24,2023,1
2022-06-21,2022-07-18,2022-08-14,27,27,54,red asistencial la libertad,arequipa,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,813977.07,2022,0
2022-12-26,2023-01-15,2023-01-18,20,3,23,red prestacional rebagliati,lima,legal entity,clotrimazol 1%,contratacion directa,0,0,0,88467.18,2022,0
2024-08-01,2024-10-16,2024-11-15,76,30,106,red prestacional lambayeque,lima,legal entity,sodio cloruro 0.9%,licitacion publica,0,0,0,327998.29,2024,0
2023-02-04,2023-03-05,2023-03-22,29,17,46,red prestacional lambayeque,ancash,natural person,paracetamol 500 mg,adjudicacion simplificada,0,0,0,154606.73,2023,0
2023-08-15,2023-08-29,2023-09-07,14,9,23,red prestacional lambayeque,lima,legal entity,ceftriaxona 1 g,contratacion directa,0,1,1,85122.26,2023,1
2024-04-10,2024-05-26,2024-06-04,46,9,55,red prestacional lambayeque,lima,legal entity,ritonavir 100 mg,licitacion publica,0,1,0,864720.33,2024,0
2023-05-11,2023-06-04,2023-06-15,24,11,35,red asistencial la libertad,madre de dios,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,1,1,477520.77,2023,0
2023-09-14,2023-09-29,2023-10-08,15,9,24,red prestacional lambayeque,lambayeque,legal entity,cicloserine 250 mg,contratacion directa,0,1,1,249244.81,2023,1
2022-01-05,2022-02-12,2022-03-02,38,18,56,red prestacional lambayeque,lima,legal entity,cefalexina 500 mg,subasta inversa electronica,0,0,0,489210.5,2022,0
2022-08-06,2022-08-29,2022-09-27,23,29,52,red asistencial loreto,apurimac,legal entity,ceftriaxona 1 g,subasta inversa electronica,0,1,1,53674.55,2022,0
2024-09-11,2024-10-21,2024-11-25,40,35,75,red prestacional rebagliati,lima,legal entity,piperacilina/tazobactan 4g+500mg,licitacion publica,0,1,1,280514.44,2024,0
2022-12-25,2023-01-29,2023-02-24,35,26,61,red asistencial loreto,arequipa,legal entity,meropenem 500 mg,subasta inversa electronica,0,1,1,103214.38,2022,1
2023-10-10,2023-12-17,2024-01-13,68,27,95,red asistencial madre de dios,ancash,legal entity,ceftriaxona 1 g,licitacion publica,0,1,1,112692.77,2023,0
2025-07-26,2025-08-30,2025-09-24,35,25,60,red asistencial ancash,ancash,consortium,sodio cloruro 0.9%,subasta inversa electronica,1,0,0,454834.89,2025,0
2024-01-15,2024-02-20,2024-03-10,36,19,55,red prestacional rebagliati,lima,legal entity,ritonavir 100 mg,subasta inversa electronica,0,1,0,88705.12,2024,0
2023-12-12,2024-01-05,2024-02-02,24,28,52,red asistencial la libertad,lima,legal entity,dextrometorfano 15mg/5ml,licitacion publica,0,0,0,177154.62,2023,0
2023-02-11,2023-04-13,2023-05-18,61,35,96,red prestacional rebagliati,lima,consortium,insulina glargina 100 ui/ml,licitacion publica,1,1,1,270011.84,2023,1
2023-06-28,2023-09-09,2023-10-10,73,31,104,red prestacional rebagliati,madre de dios,consortium,ceftriaxona 1 g,licitacion publica,1,1,1,270453.66,2023,1
2023-03-04,2023-03-22,2023-04-05,18,14,32,red prestacional rebagliati,lima,natural person,ceftriaxona 1 g,subasta inversa electronica,0,1,1,195300.36,2023,0
2022-12-18,2023-01-12,2023-01-23,25,11,36,red prestacional rebagliati,madre de dios,consortium,meropenem 500 mg,subasta inversa electronica,1,1,1,88325.37,2022,0
2023-08-19,2023-09-16,2023-10-10,28,24,52,red prestacional lambayeque,lima,legal entity,dextrometorfano 15mg/5ml,adjudicacion simplificada,0,0,0,98840.51,2023,0
2022-08-29,2022-09-19,2022-10-04,21,15,36,red prestacional lambayeque,ancash,legal entity,sulfadiazina 1% crema,adjudicacion simplificada,0,0,1,60800.28,2022,0
2025-02-21,2025-03-08,2025-03-18,15,10,25,red prestacional sabogal,lima,natural person,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,141444.16,2025,0
2024-04-05,2024-05-10,2024-05-26,35,16,51,red prestacional rebagliati,ancash,natural person,sulfadiazina 1% crema,adjudicacion simplificada,0,0,0,165358.42,2024,0
2023-08-10,2023-09-09,2023-10-21,30,42,72,red prestacional sabogal,lima,legal entity,piperacilina/tazobactan 4g+500mg,licitacion publica,0,1,1,23903.82,2023,0
2023-08-19,2023-09-25,2023-10-24,37,29,66,red prestacional almenara,ancash,legal entity,piperacilina/tazobactan 4g+500mg,licitacion publica,0,0,1,86275.48,2023,0
2023-08-25,2023-10-28,2023-12-03,64,36,100,red asistencial loreto,la libertad,legal entity,ceftriaxona 1 g,licitacion publica,0,1,1,5314136.0,2023,1
2022-05-23,2022-06-19,2022-07-14,27,25,52,red prestacional lambayeque,lima,legal entity,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,569934.96,2022,0
2022-06-20,2022-07-16,2022-08-12,26,27,53,red prestacional rebagliati,la libertad,legal entity,insulina glargina 100 ui/ml,licitacion publica,0,1,0,55376.01,2022,0
2023-01-29,2023-04-12,2023-06-05,73,54,127,red prestacional almenara,lima,natural person,ceftriaxona 1 g,licitacion publica,0,1,1,38264.33,2023,0
2023-02-05,2023-02-27,2023-03-16,22,17,39,red asistencial loreto,lima,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,1412183.3,2023,0
2022-01-13,2022-02-07,2022-02-23,25,16,41,red prestacional sabogal,apurimac,legal entity,ceftriaxona 1 g,subasta inversa electronica,0,1,1,238684.09,2022,0
2022-06-09,2022-06-29,2022-07-21,20,22,42,red prestacional almenara,lima,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,270917.37,2022,0
2022-11-23,2022-12-05,2022-12-14,12,9,21,red prestacional sabogal,lima,natural person,clotrimazol 1%,contratacion directa,0,0,0,1759444.01,2022,1
2024-07-05,2024-07-27,2024-08-07,22,11,33,red asistencial arequipa,lambayeque,legal entity,piperacilina/tazobactan 4g+500mg,subasta inversa electronica,0,1,1,754162.19,2024,0
2023-08-31,2023-11-01,2023-11-20,62,19,81,red asistencial la libertad,piura,legal entity,ritonavir 100 mg,licitacion publica,0,1,0,543584.58,2023,0
2023-03-27,2023-04-08,2023-04-23,12,15,27,red prestacional rebagliati,lima,natural person,sulfadiazina 1% crema,adjudicacion simplificada,0,0,0,17868923.26,2023,0
2023-10-11,2023-12-23,2024-01-11,73,19,92,red prestacional rebagliati,lambayeque,consortium,ceftriaxona 1 g,licitacion publica,1,1,1,593558.87,2023,0
2023-03-07,2023-04-29,2023-05-28,53,29,82,red prestacional rebagliati,apurimac,legal entity,ceftriaxona 1 g,licitacion publica,0,1,0,306506.69,2023,0
2023-06-19,2023-07-16,2023-08-13,27,28,55,red prestacional rebagliati,la libertad,consortium,cicloserine 250 mg,licitacion publica,1,1,1,192005.86,2023,0
2023-02-14,2023-03-01,2023-03-22,15,21,36,red asistencial la libertad,loreto,natural person,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,534428.43,2023,0
2025-03-03,2025-04-25,2025-06-02,53,38,91,red prestacional rebagliati,lima,legal entity,ceftriaxona 1 g,licitacion publica,0,1,1,96803.68,2025,0
2024-05-13,2024-06-04,2024-06-13,22,9,31,red prestacional sabogal,lima,natural person,cicloserine 250 mg,contratacion directa,0,1,1,1013632.72,2024,1
2024-10-10,2024-11-03,2024-11-10,24,7,31,red prestacional almenara,ancash,natural person,paracetamol 500 mg,adjudicacion simplificada,0,0,0,112422.54,2024,0
